feature,importance
geo_is_new,0.22645913
is_first_time_payee,0.17581573
payee_prior_interaction_count,0.073416226
device_is_new,0.07341121
transaction_within_mandate_envelope,0.054163937
prior_transaction_count,0.051397823
agent_attestation_verified,0.038476966
preceded_by_support_call,0.0378482
historical_avg_amount,0.036200065
amount,0.027582016
agent_behavior_pattern_match_score,0.027280714
approval_outside_hierarchy,0.02274157
channel,0.022114923
account_detail_changed_before_txn,0.019654859
time_since_support_call_minutes,0.019197026
login_event_flag,0.016038407
credential_exposure_window_flag,0.0137161035
account_age_days,0.009779454
request_urgency_flag,0.009637402
merchant_registration_age_days,0.00941038
mandate_amount_cap,0.0064614434
attempts_in_window,0.00552746
window_seconds,0.0053441436
session_video_artifact_score,0.0043133893
merchant_reputation_score,0.002835979
geo_country,0.0017602666
identity_cross_source_correlation,0.0017023679
merchant_category,0.0016963122
txn_hour,0.0013113386
mandate_category_scope,0.0012823185
credit_history_months,0.0011515196
claimed_employment_tenure_months,0.0011397899
authorization_result,0.0011315468
onboarding_velocity_seconds,0.0
currency,0.0
session_frame_rate_anomaly,0.0
agent_attestation_present,0.0
mandate_recurring_flag,0.0
