feature,importance
credit_history_months,0.41465023
payee_prior_interaction_count,0.40701175
attempts_in_window,0.058122158
account_age_days,0.047920972
geo_is_new,0.0167414
historical_avg_amount,0.015678732
amount,0.012307617
channel,0.011061125
device_is_new,0.005918947
agent_behavior_pattern_match_score,0.0050703255
merchant_registration_age_days,0.0027316562
prior_transaction_count,0.0012291581
authorization_result,0.000568148
merchant_reputation_score,0.0005620982
window_seconds,0.0003358709
merchant_category,8.9786234e-05
time_since_support_call_minutes,0.0
session_video_artifact_score,0.0
onboarding_velocity_seconds,0.0
txn_hour,0.0
transaction_hour_local,0.0
claimed_employment_tenure_months,0.0
identity_cross_source_correlation,0.0
geo_country,0.0
currency,0.0
mandate_amount_cap,0.0
mandate_category_scope,0.0
session_frame_rate_anomaly,0.0
login_event_flag,0.0
account_detail_changed_before_txn,0.0
is_first_time_payee,0.0
request_urgency_flag,0.0
approval_outside_hierarchy,0.0
preceded_by_support_call,0.0
credential_exposure_window_flag,0.0
agent_attestation_present,0.0
agent_attestation_verified,0.0
mandate_recurring_flag,0.0
transaction_within_mandate_envelope,0.0
