vector,channels,legit_amount_min,legit_amount_max,vector_amount_min,vector_amount_max,ranges_overlap
A1,card_not_present,1.34,742.73,63.08,974.07,True
A2,card_not_present,1.34,742.73,21.99,1529.87,True
B1,wire,22.62,653755.29,2602.53,73624.27,True
B2,"p2p,rtp",1.68,20230.24,440.43,3342.69,True
B3,card_not_present,1.34,742.73,8.14,1351.28,True
C1,agentic_checkout,2.05,143.53,35.69,968.06,True
C2,agentic_checkout,2.05,143.53,47.24,393.74,True
C3,agentic_checkout,2.05,143.53,32.72,654.21,True
D1,card_not_present,1.34,742.73,0.5,4.99,True
D2,"ach,card_not_present,p2p",1.34,42114.43,145.06,1898.51,True
E2,promo_redemption,1.59,395.32,1.54,24.96,True
