feature,importance
identity_cross_source_correlation,0.5306885
claimed_employment_tenure_months,0.15915881
historical_avg_amount,0.111296125
geo_is_new,0.078192905
payee_prior_interaction_count,0.055466637
request_urgency_flag,0.012911416
prior_transaction_count,0.012072795
account_age_days,0.0080047
time_since_support_call_minutes,0.0064915866
transaction_within_mandate_envelope,0.0053798547
agent_behavior_pattern_match_score,0.005315931
channel,0.005187923
credit_history_months,0.0035818056
geo_country,0.0016718451
device_is_new,0.0014477
merchant_category,0.0010360578
amount,0.0008771866
merchant_registration_age_days,0.0006590537
merchant_reputation_score,0.0005591283
session_video_artifact_score,0.0
onboarding_velocity_seconds,0.0
mandate_amount_cap,0.0
currency,0.0
attempts_in_window,0.0
window_seconds,0.0
txn_hour,0.0
session_frame_rate_anomaly,0.0
login_event_flag,0.0
authorization_result,0.0
mandate_category_scope,0.0
is_first_time_payee,0.0
account_detail_changed_before_txn,0.0
preceded_by_support_call,0.0
approval_outside_hierarchy,0.0
credential_exposure_window_flag,0.0
agent_attestation_present,0.0
agent_attestation_verified,0.0
mandate_recurring_flag,0.0
